type,value,source,date,extra
url,http://182.116.36.85:35467/i,URLhaus,2026-05-16 09:44:20 UTC,"{""threat"": ""malware_download""}"
url,https://edge-network-on-hub.garden/f3c6c3f5-169c-4097-a716-caab93df632d/google.cl,URLhaus,2026-05-16 09:43:08 UTC,"{""threat"": ""malware_download""}"
url,http://61.52.6.144:50999/i,URLhaus,2026-05-16 09:42:19 UTC,"{""threat"": ""malware_download""}"
url,http://182.123.239.95:57758/i,URLhaus,2026-05-16 09:31:06 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.74/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.79/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.67/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.214/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.70/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.87/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.74/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.70/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.69/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.87/dos.py,URLhaus,2026-05-16 09:30:08 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.220/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.220/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.217/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.221/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.215/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.215/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.69/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.222/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,https://107.182.128.75/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
url,http://107.182.128.75/dos.py,URLhaus,2026-05-16 09:30:07 UTC,"{""threat"": ""malware_download""}"
